PREFIX	SUFFIX	KMER	COUNT	OUT_DEG	IN_DEG
ealpr	alpro	ealpro	2	2	2
earer	arero	earero	3	3	3
eaven	avens	eavens	4	4	4
eblam	blame	eblame	11	11	20
ecaus	cause	ecause	4	4	7
eceiv	ceive	eceive	2	2	2
edinw	dinwh	edinwh	3	3	3
edont	dontp	edontp	10	13	22
edont	donta	edonta	3	13	5
edoyo	doyou	edoyou	7	7	11
eedoy	edoyo	eedoyo	7	7	7
eeitc	eitcl	eeitcl	6	6	6
eethr	ethro	eethro	5	5	5
eewha	ewhat	eewhat	5	5	5
egfor	gforf	egforf	3	3	3
egott	gotth	egotth	1	1	1
ehind	hindg	ehindg	5	5	5
eimbl	imbli	eimbli	4	4	4
eimfo	imfoo	eimfoo	4	4	4
eimly	imlyi	eimlyi	3	3	3
eimon	imonl	eimonl	9	9	44
eitcl	itcle	eitcle	4	4	4
eitso	itsom	eitsom	2	2	2
eived	ivedi	eivedi	2	2	2
eliev	lieve	elieve	4	4	4
emirr	mirro	emirro	3	3	3
emlor	mlord	emlord	3	3	3
emsso	mssom	emssom	2	2	2
enbeg	nbegf	enbegf	3	3	3
eness	nessf	enessf	4	4	4
ensab	nsabo	ensabo	4	4	4
eonly	onlyh	eonlyh	2	2	38
eonme	onmed	eonmed	13	18	13
eonme	onmet	eonmet	2	18	2
eonme	onmes	eonmes	3	18	3
eople	opleg	eopleg	1	6	1
eople	opleo	eopleo	3	6	3
eople	oplet	eoplet	2	6	2
eouto	outof	eoutof	2	2	2
epeop	peopl	epeopl	7	7	7
erall	ralld	eralld	13	29	13
erall	rally	erally	3	29	3
erall	ralli	eralli	13	29	13
ereal	realp	erealp	3	3	3
erora	rorar	erorar	3	3	3
esome	somep	esomep	2	2	8
essfo	ssfor	essfor	3	3	3
etake	takea	etakea	3	3	3
ethem	theml	etheml	3	3	3
ethen	thenb	ethenb	3	3	3
ethin	think	ethink	2	2	5
ethro	throu	ethrou	5	5	5
etoli	tolie	etolie	3	3	3
eveca	vecau	evecau	5	5	5
ewhat	whats	ewhats	5	5	5
eyoud	youde	eyoude	2	2	2
fluck	lucks	flucks	3	3	3
fooli	oolis	foolis	4	4	4
forfo	orfor	forfor	3	3	3
forgi	orgiv	forgiv	4	4	4
forma	ormak	formak	3	3	3
ftera	teral	fteral	30	30	30
gbuti	butim	gbutim	3	3	3
gforf	forfo	gforfo	3	3	3
ghthi	hthis	ghthis	5	5	5
gican	icans	gicans	4	4	8
given	ivene	givene	4	4	4
gotno	otnow	gotnow	5	5	5
gotth	otthe	gotthe	1	1	1
gyouc	youcr	gyoucr	6	6	6
hatdo	atdoy	hatdoy	4	4	4
hatsb	atsbe	hatsbe	6	6	6
hatyo	atyou	hatyou	4	4	4
heave	eaven	heaven	4	4	4
hebla	eblam	heblam	11	11	11
hemir	emirr	hemirr	3	3	3
hemlo	emlor	hemlor	3	3	3
henbe	enbeg	henbeg	3	3	3
herea	ereal	hereal	3	3	3
hindg	indgo	hindgo	5	5	5
hinki	inkin	hinkin	3	5	3
hinki	inkic	hinkic	2	5	2
hisan	isand	hisand	6	6	6
hmayb	maybe	hmaybe	4	4	10
hroug	rough	hrough	5	5	5
hthis	thisa	hthisa	6	6	6
human	umanm	humanm	6	51	6
human	umanh	humanh	7	51	7
human	umana	humana	37	51	37
human	umani	humani	1	51	1
icans	canse	icanse	4	8	4
icans	canso	icanso	4	8	4
iethe	ethen	iethen	3	3	3
ievec	eveca	ieveca	5	5	5
imbli	mblin	imblin	4	4	4
imfoo	mfool	imfool	5	5	5
imlyi	mlyin	imlyin	3	3	3
imonl	monly	imonly	44	44	44
indgo	ndgot	indgot	5	5	5
indth	ndthi	indthi	3	3	3
ingbu	ngbut	ingbut	3	3	3
ingic	ngica	ingica	3	3	3
ingyo	ngyou	ingyou	7	7	7
inion	niond	iniond	2	2	2
inkic	nkica	inkica	2	2	2
inkin	nking	inking	3	3	3
inthe	nthem	inthem	3	3	3
inwha	nwhat	inwhat	3	3	3
iondo	ondon	iondon	2	2	2
irror	rrora	irrora	3	3	3
isand	sands	isands	6	6	6
ishma	shmay	ishmay	4	4	4
itcle	tclea	itclea	4	4	4
itsom	tsoma	itsoma	2	2	2
ivedi	vedin	ivedin	3	3	3
ivene	venes	ivenes	4	4	4
kealo	ealoo	kealoo	3	3	3
kican	icans	kicans	4	4	8
kingi	ingic	kingic	3	3	3
kingy	ingyo	kingyo	7	7	7
kinth	inthe	kinthe	3	3	3
kmeto	metol	kmetol	3	3	3
kmyop	myopi	kmyopi	1	1	1
ksome	somep	ksomep	3	3	8
lameo	ameon	lameon	18	18	18
ldont	dontp	ldontp	12	12	22
leare	earer	learer	3	3	3
legot	egott	legott	1	1	1
lemss	emsso	lemsso	2	2	2
leout	eouto	leouto	2	2	2
lethi	ethin	lethin	2	2	2
lieth	iethe	liethe	3	3	3
lieve	ievec	lievec	4	4	4
limon	imonl	limonl	15	15	44
lindt	indth	lindth	4	4	4
lishm	ishma	lishma	4	4	4
lldon	ldont	lldont	12	12	12
llimo	limon	llimon	14	14	14
llyou	lyour	llyour	2	2	2
looki	ookin	lookin	3	3	3
lordh	ordhe	lordhe	4	4	4
lprob	probl	lprobl	2	2	2
lucks	uckso	luckso	3	3	3
lveth	vethe	lvethe	2	2	2
lyhum	yhuma	lyhuma	40	40	40
lyimo	yimon	lyimon	13	13	13
lying	yingb	lyingb	3	3	3
lyour	youre	lyoure	2	2	2
makin	aking	making	7	7	7
manaf	anaft	manaft	33	33	33
manhu	anhum	manhum	7	7	7
manim	animo	manimo	2	2	2
manma	anmay	manmay	5	5	5
maybe	aybei	maybei	9	9	9
mblin	blind	mblind	4	4	4
medon	edont	medont	12	12	12
meonm	eonme	meonme	17	17	17
mepeo	epeop	mepeop	7	7	7
mesom	esome	mesome	3	3	3
metak	etake	metake	2	2	2
metol	etoli	metoli	3	3	3
mfool	fooli	mfooli	4	4	4
mirro	irror	mirror	4	4	4
mlord	lordh	mlordh	4	4	4
mlyin	lying	mlying	3	3	3
monly	onlyi	monlyi	10	46	10
monly	onlyh	monlyh	36	46	38
mssom	ssome	mssome	2	2	2
myopi	yopin	myopin	1	1	1
nafte	after	nafter	34	34	34
nbegf	begfo	nbegfo	3	3	3
ndgot	dgotn	ndgotn	5	5	5
ndont	donta	ndonta	2	2	5
ndsee	dseew	ndseew	6	6	6
ndthi	dthin	ndthin	3	3	3
ndwha	dwhat	ndwhat	5	5	5
nessf	essfo	nessfo	3	3	3
ngbut	gbuti	ngbuti	3	3	3
ngica	gican	ngican	4	4	4
ngyou	gyouc	ngyouc	7	7	7
nhuma	human	nhuman	6	6	48
nimon	imonl	nimonl	3	3	44
niond	iondo	niondo	2	2	2
nkica	kican	nkican	3	3	3
nking	kingi	nkingi	4	4	4
nlyhu	lyhum	nlyhum	38	38	38
nlyim	lyimo	nlyimo	13	13	13
nmayb	maybe	nmaybe	3	3	10
nmedo	medon	nmedon	13	13	13
nmeso	mesom	nmesom	3	3	3
nmeta	metak	nmetak	2	2	2
noway	owayt	nowayt	3	3	3
nsabo	sabov	nsabov	4	4	4
nseet	seeth	nseeth	5	5	5
nsolv	solve	nsolve	2	2	2
ntask	taskm	ntaskm	4	4	4
nthem	themi	nthemi	3	3	3
ntput	tputt	ntputt	13	23	13
ntput	tputy	ntputy	10	23	10
nwhat	whaty	nwhaty	4	4	4
oblem	blems	oblems	2	2	2
ofluc	fluck	ofluck	3	3	3
okint	kinth	okinth	3	3	3
oliet	lieth	olieth	3	3	3
olish	lishm	olishm	4	4	4
olvet	lveth	olveth	2	2	2
omayb	maybe	omaybe	3	3	10
omepe	mepeo	omepeo	7	7	7
ondon	ndont	ondont	2	2	2
onlyh	nlyhu	onlyhu	38	38	38
onlyi	nlyim	onlyim	12	12	12
onmed	nmedo	onmedo	13	13	13
onmes	nmeso	onmeso	3	3	3
onmet	nmeta	onmeta	2	2	2
ontas	ntask	ontask	5	5	5
ontpu	ntput	ontput	25	25	25
ookin	okint	ookint	3	3	3
oolis	olish	oolish	4	4	4
opini	pinio	opinio	1	1	1
opleg	plego	oplego	1	1	1
opleo	pleou	opleou	3	3	3
oplet	pleth	opleth	2	2	2
oprov	prove	oprove	4	4	4
orand	randw	orandw	4	4	4
orare	rarey	orarey	3	3	3
ordhe	rdhea	ordhea	4	4	4
orfor	rforg	orforg	3	3	3
orgiv	rgive	orgive	4	4	4
ormak	rmaki	ormaki	3	3	3
otnow	tnowa	otnowa	5	5	5
otthe	tther	otther	2	2	2
oubel	ubeli	oubeli	4	4	4
oucry	ucryc	oucryc	3	6	3
oucry	ucrym	oucrym	3	6	3
oudec	udece	oudece	2	2	2
ought	ughth	oughth	4	4	4
ourbl	urbla	ourbla	9	9	9
oureo	ureon	oureon	2	2	2
ousee	useed	ouseed	6	13	6
ousee	useei	ouseei	7	13	7
outof	utofl	outofl	2	2	2
oveim	veimo	oveimo	2	2	2
oveit	veits	oveits	3	3	3
owayt	wayto	owayto	4	4	4
oyous	youse	oyouse	11	11	11
peopl	eople	people	7	7	7
pinio	inion	pinion	2	2	2
plego	legot	plegot	1	1	1
pleou	leout	pleout	3	3	3
pleth	lethi	plethi	2	2	2
probl	roble	proble	2	2	2
prove	rovei	provei	4	4	4
putth	utthe	putthe	13	13	13
putyo	utyou	putyou	10	10	10
ralld	alldo	ralldo	11	11	11
ralli	allim	rallim	14	14	14
rally	allyo	rallyo	3	3	3
randw	andwh	randwh	4	4	4
rarey	areyo	rareyo	4	4	4
rblam	blame	rblame	9	9	20
rdhea	dheav	rdheav	4	4	4
realp	ealpr	realpr	2	2	2
reonl	eonly	reonly	2	2	2
reror	erora	rerora	3	3	3
reyou	eyoud	reyoud	2	2	2
rforg	forgi	rforgi	4	4	4
rgive	given	rgiven	4	4	4
rmaki	makin	rmakin	4	4	7
roble	oblem	roblem	2	2	2
roran	orand	rorand	4	4	4
rorar	orare	rorare	3	3	3
rough	ought	rought	4	4	4
rovei	oveit	roveit	3	3	3
rrora	roran	rroran	3	3	3
rycau	ycaus	rycaus	3	3	3
rymak	ymaki	rymaki	2	2	2
sabov	above	sabove	3	3	3
sands	andse	sandse	6	6	6
sbehi	behin	sbehin	5	5	5
seedo	eedoy	seedoy	6	6	6
seeit	eeitc	seeitc	6	6	6
seeth	eethr	seethr	5	5	5
seewh	eewha	seewha	5	5	5
seimo	eimon	seimon	7	7	9
sform	forma	sforma	3	3	3
shmay	hmayb	shmayb	4	4	4
skmet	kmeto	skmeto	2	2	2
skmyo	kmyop	skmyop	2	2	2
solve	olvet	solvet	2	2	2
somay	omayb	somayb	2	2	2
somep	omepe	somepe	7	7	7
ssfor	sform	ssform	3	3	3
ssome	somep	ssomep	3	3	8
takea	akeal	takeal	3	3	3
taskm	askmy	taskmy	3	5	3
taskm	askme	taskme	2	5	2
tclea	clear	tclear	4	4	4
tdoyo	doyou	tdoyou	4	4	11
teral	erall	terall	29	29	29
thebl	hebla	thebla	11	11	11
themi	hemir	themir	3	3	3
theml	hemlo	themlo	3	3	3
thenb	henbe	thenbe	3	3	3
there	herea	therea	3	3	3
think	hinki	thinki	5	5	5
thisa	hisan	thisan	6	6	6
throu	hroug	throug	5	5	5
timon	imonl	timonl	4	4	44
tnowa	noway	tnoway	4	4	4
toflu	ofluc	tofluc	3	3	3
tolie	oliet	toliet	3	3	3
topro	oprov	toprov	4	4	4
tputt	putth	tputth	13	13	13
tputy	putyo	tputyo	10	10	10
tsbeh	sbehi	tsbehi	5	5	5
tsoma	somay	tsomay	2	2	2
ttheb	thebl	tthebl	11	11	11
tther	there	tthere	2	2	2
tyoub	yoube	tyoube	4	4	4
tyour	yourb	tyourb	11	11	11
ubeli	belie	ubelie	5	5	5
uckso	cksom	ucksom	3	3	3
ucryc	cryca	ucryca	3	3	3
ucrym	cryma	ucryma	3	3	3
udece	decei	udecei	2	2	2
ughth	ghthi	ughthi	4	4	4
umana	manaf	umanaf	34	34	34
umanh	manhu	umanhu	7	7	7
umani	manim	umanim	1	1	1
umanm	manma	umanma	5	5	5
urbla	rblam	urblam	9	9	9
ureon	reonl	ureonl	2	2	2
useed	seedo	useedo	6	6	6
useei	seeit	useeit	6	6	6
useim	seimo	useimo	6	6	6
utimo	timon	utimon	3	3	3
utofl	toflu	utoflu	3	3	3
utthe	ttheb	uttheb	12	12	12
utyou	tyour	utyour	10	10	10
vecau	ecaus	vecaus	4	4	4
vedin	edinw	vedinw	3	3	3
veimo	eimon	veimon	2	2	9
veits	eitso	veitso	2	2	2
venes	eness	veness	4	4	4
vensa	ensab	vensab	4	4	4
vethe	ethem	vethem	3	3	3
wayto	aytop	waytop	4	4	4
whatd	hatdo	whatdo	5	5	5
whats	hatsb	whatsb	6	6	6
whaty	hatyo	whatyo	4	4	4
ybeim	beiml	ybeiml	3	9	3
ybeim	beimf	ybeimf	3	9	3
ybeim	beimb	ybeimb	3	9	3
ycaus	cause	ycause	3	3	7
yhuma	human	yhuman	42	42	48
yimon	imonl	yimonl	13	13	44
yingb	ingbu	yingbu	3	3	3
ymaki	makin	ymakin	3	3	7
yopin	opini	yopini	1	1	1
yoube	oubel	youbel	4	4	4
youcr	oucry	youcry	6	6	6
youde	oudec	youdec	3	3	3
yourb	ourbl	yourbl	11	11	11
youre	oureo	youreo	2	2	2
youse	ousee	yousee	11	11	11
ytopr	topro	ytopro	4	4	4
