RANK	LENGTH	NUM_CONTIGS	PATH	SEQUENCE
11	112	12	14->10->67->19->49->46->55->24->15->0->58->56	anseethroughthisandseewhatsbehindgotnowaytoproveitsomaybeimblindthinkingicansolvethemlordheavensaboveimonlyimonl
12	109	11	14->10->67->19->48->55->24->15->0->58->56	anseethroughthisandseewhatsbehindgotnowaytoproveitsomaybeimblindthinkicansolvethemlordheavensaboveimonlyimonl
13	108	10	4->60->22->8->39->2->64->35->26->16	alldontputyourblameonmetakealookinthemirrorandwhatdoyouseeitclearerorareyoudeceivedinwhatyoubelievecauseimon
14	108	11	14->10->67->19->49->46->55->24->15->0->57	anseethroughthisandseewhatsbehindgotnowaytoproveitsomaybeimblindthinkingicansolvethemlordheavensaboveimonlyh
15	107	12	4->59->47->30->22->8->39->2->64->35->26->16	alldontputtheblameonmetakealookinthemirrorandwhatdoyouseeitclearerorareyoudeceivedinwhatyoubelievecauseimon
16	105	10	14->10->67->19->48->55->24->15->0->57	anseethroughthisandseewhatsbehindgotnowaytoproveitsomaybeimblindthinkicansolvethemlordheavensaboveimonlyh
17	96	11	10->67->19->49->46->55->24->15->0->58->56	andseewhatsbehindgotnowaytoproveitsomaybeimblindthinkingicansolvethemlordheavensaboveimonlyimonl
18	93	10	10->67->19->48->55->24->15->0->58->56	andseewhatsbehindgotnowaytoproveitsomaybeimblindthinkicansolvethemlordheavensaboveimonlyimonl
19	92	7	8->39->2->64->35->26->16	ameonmetakealookinthemirrorandwhatdoyouseeitclearerorareyoudeceivedinwhatyoubelievecauseimon
20	92	10	10->67->19->49->46->55->24->15->0->57	andseewhatsbehindgotnowaytoproveitsomaybeimblindthinkingicansolvethemlordheavensaboveimonlyh
21	91	9	19->49->46->54->23->14->10->69->21	beimblindthinkingicanseethroughthisandseewhatsbehindgotnowaytoproveitsomaybeimlyingbutimonl
22	90	16	6->51->11->50->9->1->43->4->60->22->8->39->2->63->34->33	allyoureonlyhumanhumanafteralldontputyourblameonmetakealookinthemirrorandwhatdoyouseedoyou
23	90	9	19->49->46->54->23->14->10->68->20	beimblindthinkingicanseethroughthisandseewhatsbehindgotnowaytoproveitsomaybeimfoolishmaybe
24	89	18	6->51->11->50->9->1->43->4->59->47->30->22->8->39->2->63->34->33	allyoureonlyhumanhumanafteralldontputtheblameonmetakealookinthemirrorandwhatdoyouseedoyou
25	89	9	10->67->19->48->55->24->15->0->57	andseewhatsbehindgotnowaytoproveitsomaybeimblindthinkicansolvethemlordheavensaboveimonlyh
26	88	8	19->48->54->23->14->10->69->21	beimblindthinkicanseethroughthisandseewhatsbehindgotnowaytoproveitsomaybeimlyingbutimonl
27	87	8	19->48->54->23->14->10->68->20	beimblindthinkicanseethroughthisandseewhatsbehindgotnowaytoproveitsomaybeimfoolishmaybe
28	85	14	6->50->9->1->43->4->60->22->8->39->2->63->34->33	allyoureonlyhumanafteralldontputyourblameonmetakealookinthemirrorandwhatdoyouseedoyou
29	84	5	2->64->35->26->16	akealookinthemirrorandwhatdoyouseeitclearerorareyoudeceivedinwhatyoubelievecauseimon
30	84	16	6->50->9->1->43->4->59->47->30->22->8->39->2->63->34->33	allyoureonlyhumanafteralldontputtheblameonmetakealookinthemirrorandwhatdoyouseedoyou
31	79	8	10->67->19->49->46->54->23->14	andseewhatsbehindgotnowaytoproveitsomaybeimblindthinkingicanseethroughthisandse
32	79	8	14->10->67->19->49->46->54->23	anseethroughthisandseewhatsbehindgotnowaytoproveitsomaybeimblindthinkingicansee
33	79	8	19->49->46->54->23->14->10->67	beimblindthinkingicanseethroughthisandseewhatsbehindgotnowaytoproveitsomaybeimb
34	76	7	10->67->19->48->54->23->14	andseewhatsbehindgotnowaytoproveitsomaybeimblindthinkicanseethroughthisandse
35	76	7	14->10->67->19->48->54->23	anseethroughthisandseewhatsbehindgotnowaytoproveitsomaybeimblindthinkicansee
36	76	7	19->48->54->23->14->10->67	beimblindthinkicanseethroughthisandseewhatsbehindgotnowaytoproveitsomaybeimb
37	75	14	11->50->9->1->43->4->60->22->8->39->2->63->34->33	anhumanafteralldontputyourblameonmetakealookinthemirrorandwhatdoyouseedoyou
38	74	16	11->50->9->1->43->4->59->47->30->22->8->39->2->63->34->33	anhumanafteralldontputtheblameonmetakealookinthemirrorandwhatdoyouseedoyou
39	72	4	14->10->69->21	anseethroughthisandseewhatsbehindgotnowaytoproveitsomaybeimlyingbutimonl
40	71	4	14->10->68->20	anseethroughthisandseewhatsbehindgotnowaytoproveitsomaybeimfoolishmaybe
41	70	12	9->1->43->4->60->22->8->39->2->63->34->33	anafteralldontputyourblameonmetakealookinthemirrorandwhatdoyouseedoyou
42	69	14	9->1->43->4->59->47->30->22->8->39->2->63->34->33	anafteralldontputtheblameonmetakealookinthemirrorandwhatdoyouseedoyou
43	68	11	1->43->4->60->22->8->39->2->63->34->33	afteralldontputyourblameonmetakealookinthemirrorandwhatdoyouseedoyou
44	67	13	1->43->4->59->47->30->22->8->39->2->63->34->33	afteralldontputtheblameonmetakealookinthemirrorandwhatdoyouseedoyou
45	67	6	18->65->17->3->61->27	askmyopiniondontaskmetoliethenbegforforgivenessformakingyoucrycause
46	67	6	18->65->17->3->62->28	askmyopiniondontaskmetoliethenbegforforgivenessformakingyoucrymakin
47	63	9	4->60->22->8->39->2->63->34->33	alldontputyourblameonmetakealookinthemirrorandwhatdoyouseedoyou
48	62	11	4->59->47->30->22->8->39->2->63->34->33	alldontputtheblameonmetakealookinthemirrorandwhatdoyouseedoyou
49	57	9	19->49->46->55->24->15->0->58->56	beimblindthinkingicansolvethemlordheavensaboveimonlyimonl
50	56	3	10->69->21	andseewhatsbehindgotnowaytoproveitsomaybeimlyingbutimonl
51	55	13	6->51->11->50->9->1->43->4->60->22->8->37->31	allyoureonlyhumanhumanafteralldontputyourblameonmedonta
52	55	13	6->51->11->50->9->1->43->4->60->22->8->37->32	allyoureonlyhumanhumanafteralldontputyourblameonmedontp
53	55	12	6->51->11->50->9->1->43->4->60->22->8->38	allyoureonlyhumanhumanafteralldontputyourblameonmesomep
54	55	3	10->68->20	andseewhatsbehindgotnowaytoproveitsomaybeimfoolishmaybe
55	54	15	6->51->11->50->9->1->43->4->59->47->30->22->8->37->31	allyoureonlyhumanhumanafteralldontputtheblameonmedonta
56	54	15	6->51->11->50->9->1->43->4->59->47->30->22->8->37->32	allyoureonlyhumanhumanafteralldontputtheblameonmedontp
57	54	14	6->51->11->50->9->1->43->4->59->47->30->22->8->38	allyoureonlyhumanhumanafteralldontputtheblameonmesomep
58	54	8	19->48->55->24->15->0->58->56	beimblindthinkicansolvethemlordheavensaboveimonlyimonl
59	53	8	19->49->46->55->24->15->0->57	beimblindthinkingicansolvethemlordheavensaboveimonlyh
60	51	4	17->3->61->27	askmetoliethenbegforforgivenessformakingyoucrycause
61	51	4	17->3->62->28	askmetoliethenbegforforgivenessformakingyoucrymakin
62	50	11	6->50->9->1->43->4->60->22->8->37->31	allyoureonlyhumanafteralldontputyourblameonmedonta
63	50	11	6->50->9->1->43->4->60->22->8->37->32	allyoureonlyhumanafteralldontputyourblameonmedontp
64	50	10	6->50->9->1->43->4->60->22->8->38	allyoureonlyhumanafteralldontputyourblameonmesomep
65	50	7	19->48->55->24->15->0->57	beimblindthinkicansolvethemlordheavensaboveimonlyh
66	49	13	6->50->9->1->43->4->59->47->30->22->8->37->31	allyoureonlyhumanafteralldontputtheblameonmedonta
67	49	13	6->50->9->1->43->4->59->47->30->22->8->37->32	allyoureonlyhumanafteralldontputtheblameonmedontp
68	49	12	6->50->9->1->43->4->59->47->30->22->8->38	allyoureonlyhumanafteralldontputtheblameonmesomep
69	47	6	8->39->2->63->34->33	ameonmetakealookinthemirrorandwhatdoyouseedoyou
70	40	11	11->50->9->1->43->4->60->22->8->37->31	anhumanafteralldontputyourblameonmedonta
71	40	11	11->50->9->1->43->4->60->22->8->37->32	anhumanafteralldontputyourblameonmedontp
72	40	10	11->50->9->1->43->4->60->22->8->38	anhumanafteralldontputyourblameonmesomep
73	39	4	2->63->34->33	akealookinthemirrorandwhatdoyouseedoyou
74	39	13	11->50->9->1->43->4->59->47->30->22->8->37->31	anhumanafteralldontputtheblameonmedonta
75	39	13	11->50->9->1->43->4->59->47->30->22->8->37->32	anhumanafteralldontputtheblameonmedontp
76	39	12	11->50->9->1->43->4->59->47->30->22->8->38	anhumanafteralldontputtheblameonmesomep
77	38	4	15->0->58->56	ansolvethemlordheavensaboveimonlyimonl
78	35	8	6->51->11->50->9->1->44->5	allyoureonlyhumanhumanafterallimonl
79	35	9	9->1->43->4->60->22->8->37->31	anafteralldontputyourblameonmedonta
80	35	9	9->1->43->4->60->22->8->37->32	anafteralldontputyourblameonmedontp
81	35	8	9->1->43->4->60->22->8->38	anafteralldontputyourblameonmesomep
82	34	3	7->41->25	alproblemssomepeopleoutoflucksomep
83	34	11	9->1->43->4->59->47->30->22->8->37->31	anafteralldontputtheblameonmedonta
84	34	11	9->1->43->4->59->47->30->22->8->37->32	anafteralldontputtheblameonmedontp
85	34	10	9->1->43->4->59->47->30->22->8->38	anafteralldontputtheblameonmesomep
86	34	8	9->1->45->6->51->11->52->12	anafterallyoureonlyhumanhumanimonl
87	34	8	9->1->45->6->51->11->53->13	anafterallyoureonlyhumanhumanmaybe
88	34	8	11->50->9->1->45->6->52->12	anhumanafterallyoureonlyhumanimonl
89	34	8	11->50->9->1->45->6->53->13	anhumanafterallyoureonlyhumanmaybe
90	34	3	15->0->57	ansolvethemlordheavensaboveimonlyh
91	33	8	1->43->4->60->22->8->37->31	afteralldontputyourblameonmedonta
92	33	8	1->43->4->60->22->8->37->32	afteralldontputyourblameonmedontp
93	33	7	1->43->4->60->22->8->38	afteralldontputyourblameonmesomep
94	33	4	7->40->36->29	alproblemssomepeoplegottherealpro
95	32	10	1->43->4->59->47->30->22->8->37->31	afteralldontputtheblameonmedonta
96	32	10	1->43->4->59->47->30->22->8->37->32	afteralldontputtheblameonmedontp
97	32	9	1->43->4->59->47->30->22->8->38	afteralldontputtheblameonmesomep
98	32	7	1->45->6->51->11->50->9	afterallyoureonlyhumanhumanafter
99	32	7	1->45->6->51->11->52->12	afterallyoureonlyhumanhumanimonl
100	32	7	1->45->6->51->11->53->13	afterallyoureonlyhumanhumanmaybe
101	32	7	6->51->11->50->9->1->45	allyoureonlyhumanhumanafterallyo
102	32	7	9->1->45->6->51->11->50	anafterallyoureonlyhumanhumanaft
103	32	7	11->50->9->1->45->6->51	anhumanafterallyoureonlyhumanhum
104	30	6	6->50->9->1->44->5	allyoureonlyhumanafterallimonl
105	29	6	9->1->45->6->51->11	anafterallyoureonlyhumanhuman
106	29	6	9->1->45->6->52->12	anafterallyoureonlyhumanimonl
107	29	6	9->1->45->6->53->13	anafterallyoureonlyhumanmaybe
108	29	6	11->50->9->1->45->6	anhumanafterallyoureonlyhuman
109	28	6	4->60->22->8->37->31	alldontputyourblameonmedonta
110	28	6	4->60->22->8->37->32	alldontputyourblameonmedontp
111	28	5	4->60->22->8->38	alldontputyourblameonmesomep
112	27	5	1->45->6->50->9	afterallyoureonlyhumanafter
113	27	5	1->45->6->51->11	afterallyoureonlyhumanhuman
114	27	5	1->45->6->52->12	afterallyoureonlyhumanimonl
115	27	5	1->45->6->53->13	afterallyoureonlyhumanmaybe
116	27	8	4->59->47->30->22->8->37->31	alldontputtheblameonmedonta
117	27	8	4->59->47->30->22->8->37->32	alldontputtheblameonmedontp
118	27	7	4->59->47->30->22->8->38	alldontputtheblameonmesomep
119	27	5	6->50->9->1->45	allyoureonlyhumanafterallyo
120	27	5	6->51->11->52->12	allyoureonlyhumanhumanimonl
121	27	5	6->51->11->53->13	allyoureonlyhumanhumanmaybe
122	27	5	9->1->45->6->50	anafterallyoureonlyhumanaft
123	25	2	7->42	alproblemssomepeoplethink
124	22	3	6->51->11	allyoureonlyhumanhuman
125	22	3	6->52->12	allyoureonlyhumanimonl
126	22	3	6->53->13	allyoureonlyhumanmaybe
127	21	2	18->66	askmyopiniondontaskmy
128	20	6	11->50->9->1->44->5	anhumanafterallimonl
129	16	3	0->58->56	aboveimonlyimonl
130	16	3	3->61->27	akingyoucrycause
131	16	3	3->62->28	akingyoucrymakin
132	15	4	9->1->44->5	anafterallimonl
133	13	3	1->44->5	afterallimonl
134	12	2	0->57	aboveimonlyh
135	12	3	8->37->31	ameonmedonta
136	12	3	8->37->32	ameonmedontp
137	12	2	8->38	ameonmesomep
138	12	3	11->52->12	anhumanimonl
139	12	3	11->53->13	anhumanmaybe
140	10	2	11->51	anhumanhum
